"","Acc_x","Acc_y","Acc_z","Mag_x","Mag_y","Mag_z","Date","Hours","Minutes","Seconds","Pitch.angle","ODBA","VeDBA","Event.no.","DateTime","Behaviours"
"1",-0.47998,-0.191895,0.86377,-0.561768,0.617188,0.612061,"27/2/2019",15,23,46,28.4778441555712,0.0612793,0.0397949,342487,2019-02-27 15:23:46,"Vigilance"
"2",-0.47998,-0.23999,0.86377,-0.561768,0.617188,0.611572,"27/2/2019",15,23,46,28.1645669912379,0.0454102,0.0288086,342488,2019-02-27 15:23:46,"Vigilance"
"3",-0.467773,-0.251953,0.86377,-0.561523,0.617432,0.611084,"27/2/2019",15,23,46,27.4691511825824,0.041748,0.0297852,342489,2019-02-27 15:23:46,"Vigilance"
"4",-0.467773,-0.263916,0.827881,-0.561279,0.617676,0.610352,"27/2/2019",15,23,46,28.2950223695915,0.0771484,0.0500488,342490,2019-02-27 15:23:46,"Vigilance"
"5",-0.467773,-0.251953,0.839844,-0.560791,0.618164,0.609131,"27/2/2019",15,23,46,28.0793118735809,0.0522461,0.0332031,342491,2019-02-27 15:23:46,"Vigilance"
"6",-0.47998,-0.251953,0.851807,-0.562012,0.618164,0.609863,"27/2/2019",15,23,46,28.3842509636474,0.0522461,0.0339355,342492,2019-02-27 15:23:46,"Vigilance"
"7",-0.47998,-0.227783,0.86377,-0.563232,0.618164,0.610596,"27/2/2019",15,23,46,28.2496491895703,0.0283203,0.0200195,342493,2019-02-27 15:23:46,"Vigilance"
"8",-0.47998,-0.227783,0.86377,-0.564453,0.618164,0.611328,"27/2/2019",15,23,46,28.2496491895703,0.0270996,0.019043,342494,2019-02-27 15:23:46,"Vigilance"
"9",-0.491943,-0.23999,0.851807,-0.567139,0.618164,0.613037,"27/2/2019",15,23,46,29.0691216702269,0.0505371,0.0332031,342495,2019-02-27 15:23:46,"Vigilance"
"10",-0.467773,-0.203857,0.851807,-0.566895,0.619141,0.613037,"27/2/2019",15,23,46,28.1054297692956,0.0292969,0.0212402,342496,2019-02-27 15:23:46,"Vigilance"
"11",-0.455811,-0.203857,0.851807,-0.56665,0.620117,0.612793,"27/2/2019",15,23,46,27.4931294159131,0.0356445,0.0229492,342497,2019-02-27 15:23:46,"Vigilance"
"12",-0.467773,-0.203857,0.839844,-0.566162,0.621338,0.612549,"27/2/2019",15,23,46,28.4248700183217,0.0380859,0.0266113,342498,2019-02-27 15:23:46,"Vigilance"
"13",-0.467773,-0.203857,0.851807,-0.56543,0.623535,0.612061,"27/2/2019",15,23,46,28.1054297692956,0.0268555,0.0209961,342499,2019-02-27 15:23:46,"Vigilance"
"14",-0.491943,-0.203857,0.839844,-0.564941,0.622559,0.611572,"27/2/2019",15,23,46,29.6496627944204,0.0627441,0.0366211,342500,2019-02-27 15:23:46,"Vigilance"
"15",-0.47998,-0.23999,0.839844,-0.564453,0.621582,0.611084,"27/2/2019",15,23,46,28.7894740659034,0.0439453,0.0253906,342501,2019-02-27 15:23:46,"Vigilance"
"16",-0.47998,-0.251953,0.851807,-0.563721,0.620361,0.610352,"27/2/2019",15,23,46,28.3842509636474,0.0429688,0.0305176,342502,2019-02-27 15:23:46,"Vigilance"
"17",-0.47998,-0.275879,0.839844,-0.5625,0.618164,0.609131,"27/2/2019",15,23,46,28.5004942743755,0.076416,0.0539551,342503,2019-02-27 15:23:46,"Vigilance"
"18",-0.47998,-0.287842,0.839844,-0.5625,0.618164,0.609131,"27/2/2019",15,23,46,28.3973874518142,0.0856934,0.0646973,342504,2019-02-27 15:23:46,"Vigilance"
"19",-0.467773,-0.23999,0.803955,-0.562256,0.61792,0.609131,"27/2/2019",15,23,46,29.1409468310209,0.0683594,0.0515137,342505,2019-02-27 15:23:46,"Vigilance"
"20",-0.467773,-0.227783,0.803955,-0.562256,0.617676,0.609131,"27/2/2019",15,23,46,29.2402931309496,0.0571289,0.0493164,342506,2019-02-27 15:23:46,"Vigilance"
"21",-0.47998,-0.227783,0.827881,-0.561768,0.617188,0.609131,"27/2/2019",15,23,46,29.2050470791413,0.0314941,0.0251465,342507,2019-02-27 15:23:46,"Vigilance"
"22",-0.47998,-0.21582,0.851807,-0.562256,0.617188,0.609375,"27/2/2019",15,23,46,28.6444571650366,0.0136719,0.0102539,342508,2019-02-27 15:23:46,"Vigilance"
"23",-0.467773,-0.23999,0.851807,-0.562744,0.617188,0.609863,"27/2/2019",15,23,46,27.8598329449024,0.0234375,0.0168457,342509,2019-02-27 15:23:46,"Vigilance"
"24",-0.443848,-0.21582,0.839844,-0.563232,0.617188,0.610107,"27/2/2019",15,23,46,27.1060023506604,0.0544434,0.036377,342510,2019-02-27 15:23:46,"Vigilance"
"25",-0.443848,-0.203857,0.875977,-0.564453,0.617188,0.611084,"27/2/2019",15,23,46,26.266416104715,0.0803223,0.0471191,342511,2019-02-27 15:23:46,"Vigilance"
"26",-0.455811,-0.191895,0.875977,-0.564453,0.61792,0.611084,"27/2/2019",15,23,46,26.9438908250604,0.0800781,0.046875,342512,2019-02-27 15:23:46,"Vigilance"
"27",-0.491943,-0.191895,0.887939,-0.564209,0.618896,0.611084,"27/2/2019",15,23,46,28.4367103720192,0.0825195,0.0507813,342513,2019-02-27 15:23:46,"Vigilance"
"28",-0.467773,-0.191895,0.875977,-0.563965,0.619629,0.611084,"27/2/2019",15,23,46,27.5479787350342,0.065918,0.0407715,342514,2019-02-27 15:23:46,"Vigilance"
"29",-0.47998,-0.203857,0.86377,-0.563477,0.621582,0.611084,"27/2/2019",15,23,46,28.4055210649082,0.0324707,0.0219727,342515,2019-02-27 15:23:46,"Vigilance"
"30",-0.47998,-0.203857,0.875977,-0.563232,0.621582,0.611084,"27/2/2019",15,23,46,28.0877608192786,0.0437012,0.0300293,342516,2019-02-27 15:23:46,"Vigilance"
"31",-0.47998,-0.179932,0.86377,-0.562988,0.621338,0.611084,"27/2/2019",15,23,46,28.5463096429483,0.0556641,0.043457,342517,2019-02-27 15:23:46,"Vigilance"
